rxcui,name,tty
1087938,Chloraseptic Max Spray,BN
802556,Chloraseptic Sore Throat,BN
1045538,Chloraseptic Sore Throat + Cough,BN
262110,Chloraseptic Spray,BN
216033,Chloromag,BN
1608269,Cholbam,BN
216050,Chooz,BN
991295,ChoreMate One-Shot,BN
1593273,Chorulon,BN
1086813,Chromelin,BN
303263,Cialis,BN
2591482,Cibinqo,BN
1100054,Ciclodan,BN
1431683,Cicloferon,BN
1300371,Cidacin,BN
1013644,Cidaflex,BN
203565,Ciloxan,BN
2003250,Cimduo,BN
2612677,Cimerli,BN
795082,Cimzia,BN
1746894,Cinqair,BN
809868,Cinryze,BN
1995151,Cinvanti,BN
203563,Cipro,BN
216063,Cipro HC,BN
404930,Ciprodex,BN
151518,Citanest,BN
216066,Citanest Forte,BN
216074,Citroma,BN
92170,Citrucel,BN
203573,Claforan,BN
405944,Claravis,BN
323342,Clarinex,BN
579752,Clarinex-D,BN
1742498,Clarispray,BN
203576,Claritin,BN
864643,Claritin Eye,BN
216076,Claritin-D,BN
1299055,Clarus,BN
2108823,Clavacillin,BN
897045,Clavamox,BN
1044603,Cleanoz Saline,BN
1251558,clear days ahead,BN
1491644,Clear Proof Acne Medication,BN
1489128,Clear Proof Acne Treatment,BN
1245623,Clearcanal,BN
880403,ClearLax,BN
216085,Clearplex,BN
404940,Clearskin,BN
1053266,Clearskin Blemish,BN
1376090,Clearskin Pore Penetrating Black Mineral Mask,BN
1234590,Clearskin Professional Daily Correcting,BN
1650989,Cleartime Indoor & Outdoor Allergies,BN
762417,Cleeravue-M,BN
2712450,Clemasz,BN
2720332,Clemsza,BN
543651,Clenia,BN
1991504,Clenpiq,BN
1235201,Clenziderm,BN
1236620,Clenziderm Lotion,BN
202862,Cleocin,BN
797447,Cleocin-T,BN
804539,Cleviprex,BN
2745134,Cligavyx,BN
323984,Climara,BN
402099,Climara Pro,BN
2201478,Clinda-Guard,BN
1091336,Clindacin,BN
1085915,ClindaCure,BN
352546,Clindagel,BN
404942,Clindamax,BN
496585,Clindesse,BN
216094,Clinidine,BN
800402,Clinimix 4.25/10,BN
800412,Clinimix 4.25/25,BN
800417,Clinimix 4.25/5,BN
800435,Clinimix 5/15,BN
800441,Clinimix 5/20,BN
800446,Clinimix 5/25,BN
800459,Clinimix E 2.75/5,BN
1090636,Clinimix E 4.25/10,BN
800377,Clinimix E 4.25/5,BN
800488,Clinimix E 5/15,BN
800501,Clinimix E 5/20,BN
800506,Clinimix E 5/25,BN
800585,Clinisol 15,BN
1986374,Clinolipid,BN
1006555,Clinpro 5000,BN
900385,Clintabs,BN
404945,Clobex,BN
1541095,Clodan,BN
216096,Cloderm,BN
493622,Clolar,BN
892743,Clomicalm,BN
151525,Clomid,BN
1946731,Clorotekal,BN
92187,Clorpactin WCS-90,BN
2610306,Clorrelief,BN
2725622,Clotic,BN
216102,Clozaril,BN
1922330,CNJ-016,BN
1719236,Coagadex,BN
718834,Coartem,BN
2694844,Cobenfy,BN
1433193,Cocci-Cure C for Calves,BN
1551383,Cocci-Cure P for Poultry,BN
82000,Colace,BN
1872915,Colace w/Sennosides,BN
284700,Colazal,BN
858068,Colcrys,BN
1043235,Cold Spot,BN
151533,Colestid,BN
801195,Colgate,BN
1251763,Colgate Total Mouthwash,BN
2639788,Columvi,BN
216159,Coly Mycin M,BN
746962,Combigan,BN
216161,Combipatch,BN
151539,Combivent,BN
192254,Combivir,BN
2673876,Combogesic,BN
1363274,Cometriq,BN
2667985,Comfor-trate,BN
543722,Comfort Caine,BN
643493,Comfort Gel,BN
1088601,Comfort Shield,BN
1592286,Comfortcaine,BN
899134,Comfortis,BN
2695446,Comfortlax,BN
2593843,Comirnaty,BN
2664742,Comirnaty 2023-2024,BN
2691207,Comirnaty 2024-2025,BN
2722600,Comirnaty 2025-2026,BN
203546,Compazine,BN
1145803,Complera,BN
216171,Compound W brand of salicylic acid,BN
1085965,Compoz,BN
