code,description
O46.8,Chảy máu khác trước đẻ
O46.9,"Chảy máu trước đẻ, chưa xác định rõ"
O47,Chuyển dạ giả
O47.0,Chuyển dạ giả trước tuần thứ 37
O47.1,Chuyển dạ giả trong hay sau tuần thứ 37
O47.9,"Chuyển dạ giả, chưa xác định rõ"
O48,Thai quá ngày sinh
O60,Chuyển dạ sớm và đẻ
O60.0,Chuyển dạ sớm không đẻ
O60.1,Chuyển dạ sớm và đẻ sớm
O60.2,Chuyển dạ sớm và đẻ đúng kỳ
O60.3,Đẻ sớm không có chuyển dạ tự nhiên
O61,Khởi phát chuyển dạ thất bại
O61.0,Gây chuyển dạ bằng thuốc thất bại
O61.1,Gây chuyển dạ bằng dụng cụ thất bại
O61.8,Gây chuyển dạ bị thất bại khác
O61.9,"Gây chuyển dạ bị thất bại, chưa xác định rõ"
O62,Bất thường về động lực chuyển dạ
B43.1,Áp xe não do phaeomyces
B43.2,Nang và áp xe dưới da do phaeomyces
N90.8,Biến đổi không do viêm xác định khác của âm hộ và tầng sinh môn
N90.9,"Biến đổi không do viêm của âm hộ và tầng sinh môn, không đặc hiệu"
N91,"Vô kinh, thiểu kinh, hiếm kinh"
N91.0,Vô kinh nguyên phát
N91.1,Vô kinh thứ phát
N91.2,"Vô kinh, không đặc hiệu"
N91.3,Thiểu kinh nguyên phát
N91.4,Thiểu kinh thứ phát
N91.5,Thiểu kinh không đặc hiệu
N92,"Kinh nguyệt nhiều, hay xuất hiện và không đều"
N92.0,Kinh nguyệt nhiều và hay xuất hiện với chu kỳ đều
N92.1,Kinh nguyệt nhiều và hay xảy ra với chu kỳ không đều
N92.2,Rong kinh lúc dậy thì
N92.3,Chảy máu lúc rụng trứng
N92.4,Chảy máu nặng lúc tiền mãn kinh
N92.5,Kinh nguyệt không đều khác
N92.6,"Kinh nguyệt không đều, không đặc hiệu"
N93,Chảy máu bất thường khác của tử cung và âm đạo
N93.0,Chảy máu sau tiếp xúc và giao hợp
N93.8,Chảy máu bất thường xác định khác của tử cung và âm đạo
N93.9,"Chảy máu bất thường của tử cung và âm đạo, không đặc hiệu"
N94,Đau và tình trạng khác liên quan đến cơ quan sinh dục nữ và chu kỳ kinh nguyệt
N94.0,Đau vừa
N94.1,Đau lúc giao hợp
N94.2,Co đau âm đạo
N94.3,Hội chứng căng thẳng trước khi thấy kinh
N94.4,Đau kinh nguyên phát
N94.5,Đau kinh thứ phát
N94.6,"Đau kinh, không đặc hiệu"
N94.8,Các tình trạng xác định khác liên quan đến cơ quan sinh dục nữ và chu kỳ kinh nguyệt
N94.9,Tình trạng không xác định liên quan đến cơ quan sinh dục nữ và chu kỳ kinh nguyệt
N95,Rối loạn mãn kinh và rối loạn chu mãn kinh
N95.0,Chảy máu sau mãn kinh
N95.1,Tình trạng mãn kinh nữ
N95.2,Viêm teo âm đạo sau mãn kinh
N95.3,Tình trạng liên quan đến mãn kinh nhân tạo
N95.8,"Các rối loạn mãn kinh và chu mãn kinh, không đặc hiệu"
N95.9,"Rối loạn mãn kinh và chu mãn kinh, không đặc hiệu"
N96,Hay sảy thai
Q53.0,Tinh hoàn ẩn
Q53.1,Tinh hoàn chưa xuống bìu một bên
Q53.2,Tinh hoàn chưa xuống bìu hai bên
Q53.9,"Tinh hoàn chưa xuống bìu, không đặc hiệu"
Q54,Lỗ đái lệnh thấp
Q54.0,Lỗ đái thấp thể quy đầu
Q54.1,Lỗ đái lệch thấp thể dương vật
Q54.2,Lỗ đái lệch thấp thể dương vật - bìu
Q54.3,Lỗ đái lệch thấp ở tầng sinh môn
Q54.4,Cong dương vật bẩm sinh
Q54.8,Các thể lỗ đái lệch thấp khác
Q54.9,Lỗ đái lệch thấp không đặc hiệu
Q55,Các dị tật bẩm sinh khác của cơ quan sinh dục nam
Q55.0,Không có hoặc bất sản tinh hoàn
Q55.1,Giảm sản tinh hoàn và bìu
Q55.2,Các dị tật bẩm sinh khác của tinh hoàn và bìu
Q55.3,Teo ống dẫn tinh
Q55.4,"Các dị tật bẩm sinh khác của ống dẫn tinh, mào tinh, túi tinh và tuyến tiền liệt"
Q55.5,Thiếu và bất sản dương vật bẩm sinh
Q55.6,Dị tật bẩm sinh khác của dương vật
Q55.8,Dị tật bẩm sinh đặc hiệu khác của cơ quan sinh dục nam
Q55.9,Dị tật bẩm sinh của cơ quan sinh dục nam không đặc hiệu
Q56,Không xác định giới tính và hội chứng giả lưỡng giới
Q56.0,"Hội chứng lưỡng giới, không phân loại nơi khác"
Q56.1,"Hội chứng lưỡng giới giả nam, không phân loại nơi khác"
Q56.2,Hội chứng lưỡng giới giả nữ không phân loại ở chỗ khác
Q56.3,Hội chứng lưỡng giới giả không đặc hiệu
Q56.4,không đặc hiệu giới tính không đặc hiệu
Q60,Không có thận và các Khuyết tật khác của thận
Q60.0,Không có thận một bên
Q60.1,Không có thận cả hai bên
Q60.2,Không có thận không đặc hiệu
Q60.3,Giảm sản thận một bên
Q60.4,Giảm sản thận hai bên
Q60.5,Giảm sản thận không đặc hiệu
Q60.6,Hội chứng Potter
Q61,Các bệnh nang thận
Q61.0,Nang thận đơn bẩm sinh
D00.1,Ung thư biểu mô tại chỗ của của thực quản
D00.2,U ác của Dạ dày
D01,Ung thư biểu mô tại chỗ của cơ quan tiêu hóa khác và không xác định
D01.0,Ung thư biểu mô tại chỗ của đại tràng
S36.5,Vết thương đại tràng
S36.50,"Vết thương đại tràng, không có vết thương hở vào ổ bụng"
S36.51,"Vết thương đại tràng, có vết thương hở vào ổ bụng"
S36.6,Vết thương trực tràng
S36.60,"Vết thương trực tràng, không có vết thương hở vào ổ bụng"
S36.61,"Vết thương trực tràng, có vết thương hở vào ổ bụng"
S36.7,Vết thương nhiều cơ quan trong ổ bụng
S36.70,"Vết thương nhiều cơ quan trong ổ bụng, không có vết thương hở vào ổ bụng"
S36.71,"Vết thương nhiều cơ quan trong ổ bụng, có vết thương hở vào ổ bụng"
S36.8,Vết thương các cơ quan khác trong ổ bụng
S36.80,"Vết thương các cơ quan khác trong ổ bụng, không có vết thương hở vào ổ bụng"
S36.81,"Vết thương các cơ quan khác trong ổ bụng, có vết thương hở vào ổ bụng"
S36.9,Vết thương cơ quan trong ổ bụng không xác định
S36.90,"Vết thương cơ quan trong ổ bụng không xác định, không có vết thương hở vào ổ bụng"
S36.91,"Vết thương cơ quan trong ổ bụng không xác định, có vết thương hở vào ổ bụng"
S37,Tổn thương của hệ tiết niệu và cơ quan ở chậu hông
S37.0,Vết thương thận
S37.00,"Vết thương thận, không có vết thương hở vào ổ bụng"
S37.01,"Vết thương thận, có vết thương hở vào ổ bụng"
S37.1,Vết thương niệu quản
S37.10,"Vết thương niệu quản, không có vết thương hở vào ổ bụng"
S37.11,"Vết thương niệu quản, có vết thương hở vào ổ bụng"
S37.2,Vết thương bàng quang
S37.20,"Vết thương bàng quang, không có vết thương hở vào ổ bụng"
S37.21,"Vết thương bàng quang, có vết thương hở vào ổ bụng"
S37.3,Vết thương niệu đạo
S37.30,"Vết thương niệu đạo, không có vết thương hở vào ổ bụng"
E10.6,Bệnh đái tháo đường phụ thuộc insuline (Có biến chứng xác định khác)
E10.7,Bệnh đái tháo đường phụ thuộc insuline (Có đa biến chứng)
E10.8,Bệnh đái tháo đường phụ thuộc insuline (Có biến chứng không xác định khác)
E10.9,Bệnh đái tháo đường phụ thuộc insuline (Chưa có biến chứng)
E11,Bệnh đái tháo đường không phụ thuộc insuline
E11.0,Bệnh đái tháo đường không phụ thuộc insuline (Có hôn mê)
E11.1,Bệnh đái tháo đường không phụ thuộc insuline (Có nhiễm toan ceton)
E11.2†,Bệnh đái tháo đường không phụ thuộc insuline (Có biến chứng thận)
R74.8,Các bất thường nồng độ enzym huyết thanh khác
R74.9,Bất thường nồng độ enzym huyết thanh không đặc hiệu
R75,Biểu hiện cận lâm sàng của virus gây suy giảm miễn dịch ở người (HIV)
R76,Các phát hiện bất thường khác về miễn dịch trong huyết thanh
R76.0,Tăng chuẩn độ kháng thể
R76.1,Phản ứng bất thường với test tuberculin
R76.2,Test huyết thanh dương tính giả với giang mai
R76.8,Các kết quả miễn dịch bất thường đặc hiệu khác của huyết thanh
R76.9,"Phát hiện miễn dịch bất thường trong huyết thanh, không đặc hiệu"
R77,Bất thường khác về protein huyết tương
R77.0,Bất thường của albumin
R77.1,Bất thường của globulin
R77.2,Bất thường của alphafetoprotein
R77.8,Bất thường đặc hiệu khác của protein huyết tương
R77.9,"Bất thường của protein huyết tương, không đặc hiệu"
R78,Phát hiện các loại thuốc và các chất khác không thường có trong máu
R78.0,Phát hiện có rượu trong máu
R78.1,Phát hiện các chế phẩm thuốc phiện trong máu
R78.2,Phát hiện cocain trong máu
R78.3,Phát hiện chất gây ảo giác trong máu
R78.4,Phát hiện các chất khác có khả năng gây nghiện trong máu
R78.5,Phát hiện các chất hướng thần trong máu
R78.6,Phát hiện chất stieroid trong máu
R78.7,Phát hiện nồng độ kim loại nặng bất thường trong máu
R78.8,Phát hiện các chất đặc hiệu khác mà bình thường không có trong máu
R78.9,Phát hiện chất không xác định mà bình thường không có trong máu
R79,Các phát hiện sinh hóa máu bất thường khác
B96.6,Bacillus fragilis [B. fragilis] gây các bệnh đã được phân loại ở chương khác
B96.7,Clostridium perfringens [C. Perfringens] gây các bệnh đã được phân loại ở chương khác
B96.8,Vi khuẩn xác định khác gây các bệnh đã được phân loại ở chương khác
B97,Tác nhân virus gây các bệnh đã được phân loại ở chương khác
B97.0,Adenovirus gây các bệnh đã được phân loại ở chương khác
B97.1,Enterovirus gây các bệnh đã được phân loại ở chương khác
B97.2,Coronavirus gây các bệnh đã được phân loại ở chương khác
B97.3,Retrovirus gây các bệnh đã được phân loại ở chương khác
B97.4,Virus hợp bào đường hô hấp gây các bệnh đã được phân loại ở chương khác
S06.4,Chảy máu trên màng cứng
S06.5,Chảy máu dưới màng cứng
S06.6,Chảy máu dưới màng nhện chấn thương
S06.7,Tổn thương nội sọ có hôn mê kéo dài
S06.8,Tổn thương nội sọ khác
S06.9,Tổn thương nội sọ không đặc hiệu
S07,Tổn thương vùi lấp của đầu
S07.0,Tổn thương vùi lấp của mặt
S07.1,Tổn thương vùi lấp của hộp sọ
S07.8,Tổn thương vì lấp của các phần khác của đầu
S07.9,"Tổn thương vùi lấp của đầu, các phần không xác định"
S08,Cắt cụt phần của đầu do chấn thương
S08.0,Nhổ giật da đầu
S08.1,Cắt cụt do chấn thương tai
Q27.1,Hẹp động mạch thận bẩm sinh
Q27.2,Các dị tật bẩm sinh khác của động mạch thận
Q27.3,Dị tật động - tĩnh mạch ngoại biên
Q27.4,Dãn tĩnh mạch bẩm sinh
Q27.8,Các dị tật bẩm sinh đặc hiệu khác của hệ thống mạch ngoại biên
Q27.9,"Dị tật bẩm sinh của hệ thống mạch ngoại biên, không đặc hiệu"
Q28,Các dị tật bẩm sinh khác của hệ thống tuần hoàn
Q28.0,Dị tật động - tĩnh mạch của các mạch máu trước não
Q28.1,Các dị tật khác của các mạch máu trước não
Q28.2,Dị tật động - tĩnh mạch của các mạch máu não
Q28.3,Các dị tật khác của các mạch máu não
Q28.8,Những dị tật đặc hiệu khác của hệ tuần hoàn
Q28.9,"Dị tật bẩm sinh hệ tuần hoàn, không đặc hiệu"
Q30,Các bất thường-bẩm sinh ở mũi
Q30.0,Teo lỗ mũi
Q30.1,Bất sản và kém phát triển mũi
Q30.2,"Mũi có rãnh, có lõm hoặc nứt kẽ"
Q30.3,Thủng vách mũi bẩm sinh
Q30.8,Các dị tật bẩm sinh khác ở mũi
Q30.9,"Bất thường bẩm sinh ở mũi, không đặc hiệu"
Q31,Các bất thường bẩm sinh của thanh quản
Q31.0,Màng thanh quản
Q31.1,Hẹp vùng hạ thanh môn bẩm sinh
Q31.2,Thiểu sản thanh quản
Q31.3,Thoát vị thanh quản
Q31.5,Nhuyễn cơ thanh quản bẩm sinh
Q31.8,Các dị tật bẩm sinh khác của thanh quản
Q31.9,"Bất thường thanh quản bẩm sinh, không đặc hiệu"
E11.3†,Bệnh đái tháo đường không phụ thuộc insuline (Có biến chứng mắt)
E11.4†,Bệnh đái tháo đường không phụ thuộc insuline (Có biến chứng thần kinh)
E11.5,Bệnh đái tháo đường không phụ thuộc insuline (Có biến chứng mạch máu ngoại vi)
E11.6,Bệnh đái tháo đường không phụ thuộc insuline (Có biến chứng xác định khác)
E11.7,Bệnh đái tháo đường không phụ thuộc insuline (Có đa biến chứng)
E11.8,Bệnh đái tháo đường không phụ thuộc insuline (Có biến chứng không xác định khác)
E11.9,Bệnh đái tháo đường không phụ thuộc insuline (Chưa có biến chứng)
E12,Bệnh đái tháo đường liên quan đến suy dinh dưỡng
E12.0,Bệnh đái tháo đường liên quan đến suy dinh dưỡng (Có hôn mê)
E12.1,Bệnh đái tháo đường liên quan đến suy dinh dưỡng (Có nhiễm toan ceton)
E12.2†,Bệnh đái tháo đường liên quan đến suy dinh dưỡng (Có biến chứng thận)
E12.3†,Bệnh đái tháo đường liên quan đến suy dinh dưỡng (Có biến chứng mắt)
A09,Viêm dạ dày - ruột và đại tràng do nguyên nhân nhiễm trùng và chưa xác định được nguồn gốc nhiễm trùng
A09.0,Viêm dạ dày - ruột và đại tràng khác do nhiễm trùng và không xác định
A09.9,Viêm dạ dày - ruột và viêm đại tràng khác không rõ nguyên nhân
A15,"Lao hô hấp, có xác nhận về vi khuẩn học và mô học"
A15.0,"Lao phổi, xác nhận bằng soi đờm có cấy hoặc không cấy đờm"
A15.1,"Lao phổi, chỉ xác nhận bằng nuôi cấy"
A15.2,"Lao phổi, xác nhận về mô học"
A15.3,Lao phổi được xác nhận bằng những phương pháp không xác định
A15.4,"Lao hạch lympho trong lồng ngực, xác nhận về vi trùng học và mô học"
A15.5,"Lao thanh quản, khí quản và phế quản, xác nhận về vi trùng học và mô học"
A15.6,"Lao màng phổi, xác nhận về vi trùng học và mô học"
N42.8,Biến đổi xác định khác của tuyến tiền liệt
N42.9,"Biến đổi của tuyến tiền liệt, không đặc hiệu"
N43,Tràn dịch màng tinh và sa tinh
N43.0,Tràn dịch màng tinh hoàn nang hóa
N43.1,Tràn dịch màng tinh hoàn nhiễm khuẩn
N43.2,Tràn dịch màng tinh hoàn khác
N43.3,"Tràn dịch màng tinh hoàn, không đặc hiệu"
N43.4,Nang mào tinh hoàn
N44,Xoắn tinh hoàn
N45,Viêm tinh hoàn và viêm mào tinh hoàn
N45.0,"Viêm tinh hoàn, viêm mào tinh hoàn và viêm tinh hoàn- mào tinh hoàn có áp xe"
N45.9,"Viêm tinh hoàn, mào tinh hoàn và viêm tinh hoàn- mào tinh hoàn không có áp xe"
N46,Vô sinh nam
N47,"Bao quy đầu rộng, hẹp bao quy đầu và nghẹt bao quy đầu"
N48,Biến đổi khác của dương vật
N48.0,Bạch sản dương vật
N48.1,Viêm quy đầu - bao quy đầu
N48.2,Biến đổi viêm khác của dương vật
N48.3,Cương đau dương vật kéo dài
N48.4,Bất lực do nguyên nhân thực thể
N48.5,Loét dương vật
N48.6,Xơ cứng dương vật
N48.8,Biến đổi xác định khác của dương vật
N48.9,"Biến đổi của dương vật, không đặc hiệu"
N49,"Viêm của cơ quan sinh dục nam, không phân loại nơi khác"
N49.0,Viêm túi tinh
N49.1,"Viêm thừng tinh, màng tinh và ống tinh"
N49.2,Viêm bìu
N49.8,Viêm của cơ quan sinh dục nam khác
N49.9,Viêm cơ quan sinh dục nam không đặc hiệu
N50,Biến đổi khác của cơ quan sinh dục nam
N50.0,Teo tinh hoàn
N50.1,Rối loạn mạch máu của cơ quan sinh dục nam
N50.8,Biến đổi khác của cơ quan sinh dục nam
N50.9,"Biến đổi của cơ quan sinh dục nam, không đặc hiệu"
N51,Biến đổi cơ quan sinh dục nam trong các bệnh đã được phân loại ở phần khác
N51*,Biến đổi cơ quan sinh dục nam trong các bệnh đã được phân loại ở phần khác
N51.0*,Biến đổi của tuyến tiền liệt trong bệnh đã được phân loại ở phần khác
N51.1*,Biến đổi của tinh hoàn và mào tinh hoàn trong các bệnh đã được phân loại ở phần khác
D11.7,U lành của tuyến nước bọt chính khác
D11.9,U lành của tuyến nước bọt chính không đặc hiệu
D12,"U lành của đại tràng, trực tràng, hậu môn và ống hậu môn"
D12.0,U lành của manh tràng
D12.1,U lành của ruột thừa
D12.2,U lành của đại tràng lên
D12.3,U lành của đại tràng ngang
D12.4,U lành của đại tràng xuống
D12.5,U lành của đại tràng sigma
D12.6,U lành của Đại tràng không đặc hiệu
D12.7,U lành của nơi nối trực tràng sigma - trực tràng
D12.8,U lành của trực tràng
D12.9,U lành của hậu môn và ống hậu môn
B97.5,Reovirus gây các bệnh đã được phân loại ở chương khác
B97.6,Parvovirus gây các bệnh đã được phân loại ở chương khác
B97.7,Papillomavirus gây các bệnh đã được phân loại ở chương khác
B97.8,Các virus gây các bệnh đã được phân loại ở chương khác
B98,Tác nhân nhiễm trùng xác định khác gây các bệnh đã được phân loại ở chương khác
B98.0,Helicobacter pylori [H.pylori] gây các bệnh đã được phân loại ở chương khác
B99,Các bệnh nhiễm trùng khác và không xác định
C00,U ác của môi
C00.0,U ác của môi phần ngoài môi trên
C00.1,Phần ngoài môi dưới
C00.2,U ác của phần ngoài môi không đặc hiệu
C00.3,"U ác của môi trên, mặt trong"
C00.4,"U ác của môi dưới, mặt trong"
C00.5,"U ác của môi, mặt trong không đặc hiệu"
C00.6,U ác của mép môi
C00.8,U ác với tổn thương chồng lấn của môi
C00.9,"U ác của môi, không đặc hiệu"
C01,U ác của đáy lưỡi
C02,U ác của phần khác và không xác định của lưỡi
C02.0,U ác mặt lưng của lưỡi
C02.1,U ác bờ của lưỡi
C02.2,U ác mặt bụng của lưỡi
C02.3,"U ác hai phần ba trước của lưỡi, phần không xác định"
C02.4,U ác của Amiđan đáy lưỡi
C02.8,U ác với tổn thương chồng lấn của lưỡi
C02.9,U ác của lưỡi không đặc hiệu
C03,U ác của lợi (nướu) răng
C03.0,U ác của nướu hàm trên
C03.1,U ác của nướu hàm dưới
D68.2,Thiếu các yếu tố đông máu khác do di truyền
D68.3,Xuất huyết trong khi sử dụng dài ngày các chất chống đông máu
D68.4,Thiếu hụt yếu tố đông máu mắc phải
D68.5,Bệnh tăng đông máu nguyên phát
D68.6,Bệnh tăng đông máu khác
D68.8,Các rối loạn đông máu đặc biệt khác
D68.9,Rối loạn đông máu không đặc hiệu
D69,Ban xuất huyết và các tình trạng xuất huyết khác
D69.0,Ban xuất huyết dị ứng
D69.1,Bất thường chất lượng tiểu cầu
D69.2,Ban xuất huyết không giảm tiểu cầu khác
D69.3,Ban xuất huyết giảm tiểu cầu vô căn
D69.4,Giảm tiểu cầu tiên phát khác
Q32,Các bất thường bẩm sinh ở khí quản và phế quản
Q32.0,Nhuyễn khí quản bẩm sinh
Q32.1,Các bất thường khác của khí quản
Q32.2,Nhuyễn phế quản bẩm sinh
Q32.3,Hẹp phế quản bẩm sinh
Q32.4,Các bất thường bẩm sinh khác của phế quản
Q33,Các dị tật bẩm sinh của phổi
Q33.0,Nang phổi bẩm sinh
Q33.1,Phổi có thùy phụ
Q33.2,Phổi biệt lập
Q33.3,Bất sản phổi
Q33.4,Giãn phế quản bẩm sinh
Q33.5,Lạc chỗ của một tổ chức khác tại phổi
Q33.6,Thiểu sản và loạn sản phổi
C77.1,U ác thứ phát và không xác định của hạch trong lồng ngực
C77.2,U ác thứ phát và không đặc hiệu của hạch trong xoang bụng
C77.3,U ác thứ phát và không đặc hiệu của hạch nách và hạch chi trên
C77.4,U ác thứ phát và không đặc hiệu của hạch bẹn và hạch chi dưới
C77.5,U ác thứ phát và không đặc hiệu của hạch trong vùng chậu
C77.8,U ác thứ phát và không đặc hiệu của hạch của nhiều vùng
C77.9,"U ác thứ phát và không đặc hiệu của hạch lympho, không xác định"
C78,U ác thứ phát của cơ quan hô hấp và tiêu ho
C78.0,U ác thứ phát của phổi
C78.1,U ác thứ phát của trung thất
C78.2,U ác thứ phát của màng phổi
C78.3,U ác thứ phát của cơ quan hô hấp và không xác định
C78.4,U ác thứ phát của ruột non
C78.5,U ác thứ phát của đại tràng và trực tràng
C78.6,U ác thứ phát của sau phúc mạc và phúc mạc
C78.7,U ác thứ phát của gan và đường mật trong gan
C78.8,U ác thứ phát của cơ quan tiêu hóa khác và không xác định
C79,U ác thứ phát có vị trí khác và không xác định
C79.0,U ác thứ phát của thận và bể thận
C79.1,U ác thứ phát của bàng quang và cơ quan tiết niệu khác và không xác định
C79.2,U ác thứ phát của da
C79.3,U ác thứ phát của não và màng não
C79.4,U ác thứ phát không xác định vị trí của hệ thần kinh
C79.5,U ác thứ phát của xương và tủy xương
C79.6,U ác thứ phát của buồng trứng
C79.7,U ác thứ phát của tuyến thượng thận
D26.9,"U lành tử cung, không đặc hiệu"
D27,U lành buồng trứng
D28,U lành của cơ quan sinh dục khác và không xác định
D28.0,U lành âm hộ
D28.1,U lành âm đạo
D28.2,U lành vòi tử cung và dây chằng
D28.7,U lành cơ quan sinh dục nữ xác định khác
D28.9,"U lành cơ quan sinh dục nữ, không đặc hiệu"
D29,U lành của cơ quan sinh dục nam
D29.0,U lành của Dương vật
D29.1,U lành của Tuyến tiền liệt
D29.2,U lành của Tinh hoàn
D29.3,U lành của Mào tinh hoàn
D29.4,Bìu
D29.7,Cơ quan sinh dục nam khác
D29.9,"Cơ quan sinh dục nam, không đặc hiệu"
D30,U lành của cơ quan tiết niệu
D30.0,U lành của Thận
D30.1,U lành của Bồn thận
D30.2,U lành của Niệu quản
D30.3,U lành của Bàng quang
D30.4,U lành của Niệu đạo
D30.7,Cơ quan tiết niệu khác
R20.8,Rối loạn cảm giác da không xác định và các rối loạn khác của da
R21,Ban và phát ban không đặc hiệu
R22,"Sưng cục bộ, khối cục ở da và tổ chức dưới da"
R22.0,"Sưng khu trú, khối và cục ở đầu"
R22.1,"Sưng khu trú, khối và cục ở cổ"
R22.2,"Sưng khu trú, khối và cục ở thân mình"
R22.3,"Sưng khu trú, khối và cục ở chi trên"
R22.4,"Sưng khu trú, khối và cục ở chi dưới"
R22.7,"Sưng khu trú, khối và cục ở nhiều vị trí"
R22.9,"Sưng khu trú, khối và cục, không đặc hiệu"
R23,Các thay đổi khác của da
R23.0,Da xanh tím
R23.1,Da xanh nhợt
R23.2,Chứng đỏ bừng mặt
R23.3,Vết bầm tím xuất huyết ngẫu phát
R23.4,Thay đổi hình thể da
R23.8,Các thay đổi của không xác định khác của da
R25,Vận động không tự chủ bất thường
R25.0,Bất thường vận động đầu
R25.1,"Rung, không đặc hiệu"
R25.2,Chuột rút và co cứng
R25.3,Co cứng cơ cục bộ
R25.8,Vận động không tự chủ bất thường không xác định khác
D13,U lành của phần khác và không rõ ràng của hệ tiêu hóa
D13.0,U lành của thực quản
D13.1,U lành của dạ dày
D13.2,U lành của tá tràng
D13.3,U lành của phần khác và không xác định của ruột non
D13.4,U lành của gan
D13.5,U lành của đường mật ngoài gan
D13.6,U lành của tụy
D13.7,U lành của tụy nội tiết
D13.9,U lành của vị trí không rõ ràng trong hệ tiêu hóa
D14,U lành tai giữa và hệ hô hấp
D14.0,"U lành của tai giữa, hốc mũi và các xoang phụ"
D14.1,U lành của thanh quản
D14.2,U lành của khí quản
D14.3,U lành của phế quản và phổi
D14.4,"U lành của hệ hô hấp, không đặc hiệu"
D15,U lành của cơ quan khác và không xác định trong lồng ngực
D15.0,U lành của tuyến ức
D15.1,U lành của tim
D15.2,U lành của trung thất
D15.7,U lành của cơ quan trong lồng ngực xác định khác
D15.9,U lành của cơ quan trong lồng ngực không đặc hiệu
D16,U lành của xương và sụn khớp
D16.0,U lành của xương bả vai và xương dài của chi trên
D16.1,U lành của xương ngắn của chi trên
D16.2,U lành của xương dài của chi dưới
D16.3,U lành của xương ngắn của chi dưới
D16.4,U lành của xương sọ và mặt
D16.5,U lành của xương hàm dưới
D16.6,Cột sống
S37.31,"Vết thương niệu đạo, có vết thương hở vào ổ bụng"
S37.4,Vết thương buồng trứng
S37.40,"Vết thương buồng trứng, không có vết thương hở vào ổ bụng"
S37.41,"Vết thương buồng trứng, có vết thương hở vào ổ bụng"
S37.5,Vết thương vòi trứng
S37.50,"Vết thương vòi trứng, không có vết thương hở vào ổ bụng"
S37.51,"Vết thương vòi trứng, có vết thương hở vào ổ bụng"
S37.6,Vết thương tử cung
S37.60,"Vết thương tử cung, không có vết thương hở vào ổ bụng"
S37.61,"Vết thương tử cung, có vết thương hở vào ổ bụng"
S37.7,Vết thương nhiều cơ quan vùng chậu
S37.70,"Vết thương nhiều cơ quan vùng chậu, không có vết thương hở vào ổ bụng"
D69.5,Giảm tiểu cầu thứ phát
D69.6,Giảm tiểu cầu không đặc hiệu
D69.8,Các tình trạng xuất huyết đặc hiệu khác
D69.9,Tình trạng xuất huyết không đặc hiệu
D70,Tình trạng không có bạch cầu hạt
D71,Rối loạn chức năng bạch cầu hạt trung tính
D72,Các rối loạn khác của bạch cầu
D72.0,Bất thường di truyền của bạch cầu
D72.1,Tình trạng tăng bạch cầu ưa acid
D72.8,Các rối loạn đặc hiệu khác của bạch cầu
D72.9,Rối loạn bạch cầu không đặc hiệu
D73,Bệnh lý lách
D73.0,Thiểu năng lách
D73.1,Cường lách
D73.2,Lách to sung huyết mãn tính
D73.3,Áp xe lách
D73.4,Nang lách
D73.5,Nhồi máu lách
D73.8,Các bệnh khác của lách
D73.9,Bệnh lách không đặc hiệu
D74,methemoglobin máu
D74.0,methemoglobin máu bẩm sinh
D74.8,methaemoglobin máu khác
D74.9,Methaemoglobin máu không đặc hiệu
D75,Các bệnh máu và cơ quan tạo máu khác
D75.0,Tăng hồng cầu gia đình
D75.1,Bệnh tăng hồng cầu thứ phát
D75.2,Tăng tiểu cầu tiền phát
D75.8,Các bệnh đặc hiệu khác của máu và cơ quan tạo máu
D75.9,Bệnh của máu và cơ quan tạo máu không đặc hiệu
D46.2,Thiếu máu đề kháng với quá nhiều nguyên bào
D46.3,Thiếu máu đề kháng với quá nhiều nguyên bào chuyển dạng
D46.4,"Thiếu máu đề kháng, không đặc hiệu"
D46.5,Thiếu máu kháng điều trị có loạn sản đa dòng
D46.6,Hội chứng loạn sản tủy có bất thường nhiễm sắc thể del (5q) đơn độc
D46.7,Hội chứng loạn sản tủy xương khác
D46.9,Hội chứng loạn tủy xương không đặc hiệu
D47,"U tân sinh khác không chắc chắn hoặc không biết sinh chất của mô ulympho, mô tạo huyết và mô liên quan"
D47.0,Bệnh dưỡng bào hệ thống không triệu chứng
D47.1,Bệnh bạch cầu dòng trung tính mãn tính
D47.2,Bệnh lý gamma globulin đơn dòng chưa xác định ý nghĩa
D47.3,Bệnh tăng tiểu cầu (xuất huyết) vô căn
D47.4,Bệnh xơ hóa tủy xương
C79.8,U ác thứ phát của các vị trí xác định rõ khác
C79.9,"U ác tính thứ phát, không xác định vị trí"
C80,U ác không xác định vị trí
C80.0,"U ác tính, không biết vị trí nguyên phát"
C80.9,"U ác, không đặc hiệu"
C81,U lympho Hodgkin
C81.0,U lympho Hodgkin dạng nốt ưu thế lympho bào
C81.1,U lympho Hodgkin (kinh điển) xơ nốt
C81.2,U lympho Hodgkin (kinh điển) hỗn hợp tế bào
C81.3,U lympho Hodgkin (kinh điển) giảm lympho bào
C81.4,U lympho Hodgkin (kinh điển) giàu lympho bào
C81.7,U lympho Hodgkin (kinh điển) khác
Q92.3,Ba nhiễm sắc thể một phần nhỏ
Q92.4,Sự nhân đôi chỉ thấy ở tiền pha giữa (tiền trung kỳ)
Q92.5,Nhân đôi cùng với sự sắp xếp lại các phức hợp khác
Q92.6,Nhiễm sắc thể có dấu ấn ngoài
Q92.7,Tam bội và đa bội
Q92.8,Ba nhiễm sắc thể đặc hiệu khác và ba nhiễm sắc thể một phần của nhiễm sắc thể thường
