code,description
T05.9,Đa chấn thương cắt cụt chưa xác định
T06,"Tổn thương khác tác động nhiều vùng cơ thể, không xếp loại nơi khác"
T06.0,Tổn thương của não và dây thần kinh sọ với tổn thương của dây thần kinh và cột sống tại tầm cổ
T06.1,Tổn thương dây thần kinh và cột sống tác động nhiều vùng khác
T06.2,Tổn thương dây thần kinh tác động nhiều vùng cơ thể
T06.3,Tổn thương mạch máu tác động nhiều vùng cơ thể
T06.4,Tổn thương cơ và gân tác động nhiều vùng cơ thể
T06.5,Tổn thương phủ tạng trong lồng ngực với trong ổ bụng và phủ tạng khung chậu
T32.8,Ăn mòn tổn thương 80-89% bề mặt cơ thể
T32.9,"Ăn mòn tổn thương 90% hoặc hơn, bề mặt cơ thể"
T33,Tổn thương nông do cóng lạnh
T33.0,Tổn thương do cóng lạnh tại đầu
T33.1,Tổn thương nông do cóng lạnh tại cổ
T33.2,Tổn thương nông do cóng lạnh tại ngực
T33.3,"Tổn thương nông do cóng lạnh tại thành bụng, lưng dưới và khung chậu"
T33.4,Tổn thương nông do cóng lạnh tại cánh tay
T33.5,Tổn thương nông do cóng lạnh tại cổ tay và bàn tay
T33.6,Tổn thương nông do cóng lạnh tại háng và đùi
W10,"Ngã trên và từ bậc thang, bậc thềm"
W11,Ngã trên và từ thang
W12,Ngã trên và từ dàn giáo
W13,"Ngã từ, ra ngoài hay qua nhà, kiến trúc"
W14,Ngã cây
W15,Ngã vách đá
W16,Nhẩy lao đầu hay nhẩy xuống nước gây chấn thương khác với ngã xuống nước hay ngập nước
W17,Ngã khác từ một mức này đến mức khác
W18,Ngã khác cùng mức
W19,Ngã không rõ đặc điểm
W20,"Bị tác động của vật ném, tung hay đang rơi"
W21,Va phải hay bị đập bởi dụng cụ thể thao
W22,Va phải hay bị đập bởi vật khác
W23,"Bị bắt, kẹp, ép hay cấu trong hay giữa các vật"
W24,"Tiếp xúc với dụng cụ nâng, truyền không được xếp loại ở nơi khác"
W25,Tiếp xúc với kính nhọn
W26,"Tiếp xúc với dao, kiếm, dao găm"
W27,Tiếp xúc với dụng cụ thủ công không động cơ
W28,Tiếp xúc với máy xén cỏ
